date,CashDividendsPaid,CommonStockDividendPaid,RepurchaseOfCapitalStock,AccountsPayable,CostOfRevenue,BasicEPS,MarketCap,PeRatio,PegRatio,FreeCashFlow,TotalRevenue,NetIncome,TotalAssets,StockholdersEquity
2019-04-30,,,,,,,122971378693.0,22.144,,,,,,
2016-11-30,,,,,,,92920498205.0,22.951,2.658,,,,,
2010-07-30,,,,,,,172342466400.0,,,,,,,
1991-05-31,,,,,,,703836600.0,26.618,,,,,,
2016-01-29,,,,,,,41868308044.0,,,,,,,
2012-05-31,,,,,,,4526084305.0,36.833,2.772,,,,,
2019-11-29,,,,,,,52578492067.0,,,,,,,
2014-11-28,,,,,,,48170812751.0,,,,,,,
2010-04-30,,,,,,,69934349597.0,17.553,,,,,,
2012-07-31,,,,,,,1929782951.0,,0.717,,,,,
2018-09-30,-31000000.0,-31000000.0,-104000000.0,407000000.0,1593000000.0,5.29,,,,-209000000.0,2083000000.0,229000000.0,6199000000.0,1825000000.0
1986-04-30,,,,,,,739410870.0,12.582,,,,,,
1998-10-30,,,,,,,21510473404.0,,,,,,,
1997-12-31,-852000000.0,,-784000000.0,10407000000.0,14476000000.0,,239775959640.0,29.827,,2245000000.0,24876000000.0,2350000000.0,304012000000.0,34438000000.0
2018-09-28,,,,,,,213659641976.0,,,,,,,
1993-05-31,,,,,,,6556577675.0,,,,,,,
1990-09-30,-86000000.0,,-147000000.0,4974000000.0,6644000000.0,0.55,,,,482000000.0,7176000000.0,378000000.0,14008000000.0,6828000000.0
2012-01-31,,,,,,,197821148070.0,15.167,0.843,,,,,
1988-04-29,,,,,,,36993986416.0,,,,,,,
2014-11-28,,,,,,,5262012120.0,,,,,,,
1988-06-30,,,,,,0.24,8941327589.0,16.739,,,4726000000.0,,,
1997-04-30,,,,,,,35549103688.0,25.032,,,,,,
1986-08-29,,,,,,,2267619613.0,,,,,,,
2012-09-30,-332000000.0,,,9152000000.0,16794000000.0,1.36,,,,1168000000.0,20008000000.0,1032000000.0,83654000000.0,7588000000.0
2019-02-28,,,,,,,19455288598.0,23.035,,,,,,
2006-05-31,,,,,,,31307152348.0,15.725,,,,,,
2020-11-05,,,,,,,88510793307.0,,,,,,,
1988-11-30,,,,,,,9471099878.0,16.398,,,,,,
2020-08-31,,,,,,,93186969518.0,42.657,,,,,,
2003-04-30,,,,,,,22527406301.0,40.691,,,,,,
2000-08-31,,,,,,,2074288348.0,88.424,,,,,,
2010-02-26,,,,,,,5915039858.0,,,,,,,
2006-08-31,,,,,,,351613607540.0,18.714,,,,,,
1999-09-30,-1148000000.0,,,12570000000.0,9522000000.0,0.27,390692204235.0,38.245,,1188000000.0,27112000000.0,2653000000.0,380224000000.0,39973000000.0
2011-11-30,,,,,,,23524808595.0,9.213,1.051,,,,,
2018-02-28,,,,,,,18539658738.0,30.087,,,,,,
1986-05-30,,,,,,,761548920.0,,,,,,,
2002-12-31,,,2900000.0,106100000.0,388700000.0,0.125,1744527970.0,20.388,,17900000.0,523900000.0,16300000.0,2008600000.0,1162800000.0
2021-06-11,,,,,,,107760564664.0,,,,,,,
2007-10-31,,,,,,,8232492849.0,17.011,,,,,,
2002-10-31,,,,,,,29210905687.0,15.227,,,,,,
2013-07-31,,,,,,,6102677039.0,13.719,3.639,,,,,
1997-11-28,,,,,,,17459296380.0,,,,,,,
1986-06-30,,,,,,0.305,2312962455.0,6.365,,,2332100000.0,,,
1998-06-30,-27000000.0,,,213000000.0,923000000.0,0.365,5883877500.0,17.416,,17000000.0,1178000000.0,92000000.0,4096000000.0,2064000000.0
2000-12-29,,,,,,,476164737171.0,,,,,,,
2004-07-30,,,,,,,42601282097.0,,,,,,,
2001-05-31,,,,,,,15577557797.0,16.286,,,,,,
2006-04-28,,,,,,,6252813538.0,,,,,,,
1986-01-31,,,,,,,7481527027.0,13.078,,,,,,
2003-06-30,-5300000.0,,-3100000.0,114000000.0,446700000.0,,1995050511.0,33.389,,26600000.0,579700000.0,700000.0,2080300000.0,1183200000.0
1999-08-31,,,,,,,14620794496.0,45.122,,,,,,
2003-09-30,-63000000.0,,0.0,1353000000.0,3797000000.0,0.665,15435341711.0,15.834,,320000000.0,4427000000.0,262000000.0,15880000000.0,5586000000.0
2013-03-31,-371000000.0,-371000000.0,-461000000.0,2123000000.0,9999000000.0,2.37,,,,1979000000.0,11070000000.0,761000000.0,39580000000.0,304000000.0
1986-10-31,,,,,,,691941680.0,11.013,,,,,,
2018-12-31,-622000000.0,-622000000.0,-666000000.0,2402000000.0,12469000000.0,4.43,73577040000.0,24.795,1.049,1758000000.0,14411000000.0,1253000000.0,44876000000.0,1394000000.0
2020-12-24,,,,,,,106720203255.0,,,,,,,
1989-02-28,,,,,,,9474258971.0,15.282,,,,,,
2020-12-31,-728000000.0,-728000000.0,0.0,880000000.0,14818000000.0,6.41,99394400000.0,15.164,2.154,1085000000.0,17032000000.0,1792000000.0,50710000000.0,6015000000.0
2018-09-28,,,,,,,60654734759.0,,,,,,,
2006-08-31,,,,,,,27250150212.0,17.21,,,,,,
2006-10-31,,,,,,,63148444890.0,36.972,,,,,,
2001-06-30,-48000000.0,,,1007000000.0,5568000000.0,0.34,,,,27000000.0,5961000000.0,144000000.0,28968000000.0,7410000000.0
2017-02-28,,,,,,,57463503435.0,19.231,4.088,,,,,
1994-12-31,-58000000.0,-43000000.0,,1306000000.0,,,,,,46000000.0,6604000000.0,233000000.0,18049000000.0,6086000000.0
2020-09-30,-42000000.0,-42000000.0,0.0,429000000.0,1878000000.0,5.47,5700375000.0,10.919,1.135,152000000.0,2314000000.0,222000000.0,8445000000.0,1880000000.0
2014-04-30,,,,,,,37526106351.0,15.372,2.85,,,,,
2006-11-30,,,,,,,70004155098.0,40.986,,,,,,
1996-05-31,,,,,,,29492137331.0,88.802,,,,,,
1999-05-31,,,,,,,28022343605.0,24.315,,,,,,
1996-04-30,,,,,,,13458503168.0,19.285,,,,,,
2010-11-30,,,,,,,24965094086.0,10.183,1.098,,,,,
1991-08-30,,,,,,,5819039059.0,,,,,,,
2020-03-31,-693000000.0,-693000000.0,-756000000.0,3166000000.0,13560000000.0,6.1,94567050000.0,15.442,1.972,2021000000.0,15651000000.0,1717000000.0,49248000000.0,3446000000.0
2021-03-05,,,,,,,95355611015.0,,,,,,,
1986-08-29,,,,,,,35887365144.0,,,,,,,
2007-05-31,,,,,,,386628940060.0,18.79,,,,,,
2010-06-30,-319000000.0,,,6960000000.0,12540000000.0,1.07,47761491639.0,46.481,,9000000.0,15573000000.0,787000000.0,63755000000.0,3077000000.0
2009-04-30,,,,,,,19948149112.0,8.15,0.905,,,,,
2011-11-30,,,,,,,25287033246.0,9.696,1.367,,,,,
2018-02-28,,,,,,,213157076271.0,26.97,1.099,,,,,
1994-07-29,,,,,,,15200670334.0,,,,,,,
