date,ticker,CashDividendsPaid,CommonStockDividendPaid,RepurchaseOfCapitalStock,AccountsPayable,CostOfRevenue,BasicEPS,FreeCashFlow,TotalRevenue,NetIncome,TotalAssets,StockholdersEquity,ROA,ROE
2011-09-30,LHX,-32600000.0,,-406200000.0,409100000.0,966700000.0,1.01,-3200000.0,1460300000.0,121600000.0,6131000000.0,2159500000.0,0.019833632360137007,0.05630933086362584
2018-06-30,RTX,-535000000.0,-535000000.0,-27000000.0,9623000000.0,12422000000.0,2.59,1627000000.0,16705000000.0,2048000000.0,101569000000.0,31364000000.0,0.020163632604436394,0.0652977936487693
2020-06-30,GE,-235000000.0,-235000000.0,,13469000000.0,15083000000.0,-0.26,-1783000000.0,17750000000.0,-1987000000.0,256487000000.0,33674000000.0,-0.007746981328488383,-0.05900694898140999
2011-12-31,HII,0.0,,,380000000.0,1468000000.0,,396000000.0,1735000000.0,69000000.0,6001000000.0,872000000.0,0.011498083652724546,0.07912844036697247
2012-09-30,GD,-180000000.0,,-10000000.0,2540000000.0,6519000000.0,1.71,592000000.0,7934000000.0,600000000.0,35503000000.0,14272000000.0,0.016899980283356337,0.04204035874439462
2015-03-31,HII,-19000000.0,-19000000.0,-29000000.0,307000000.0,1265000000.0,1.8,-23000000.0,1570000000.0,87000000.0,6319000000.0,1380000000.0,0.013768001266023105,0.06304347826086956
2016-09-30,GE,-6611000000.0,-6611000000.0,,13067000000.0,20966000000.0,0.22,-6982000000.0,29038000000.0,2027000000.0,387694000000.0,81882000000.0,0.005228350193709472,0.02475513543880218
2014-03-31,HII,-10000000.0,-10000000.0,-10000000.0,263000000.0,1287000000.0,1.83,-238000000.0,1594000000.0,90000000.0,6107000000.0,1561000000.0,0.01473718683477976,0.057655349135169766
2014-03-31,GE,-2223000000.0,-2223000000.0,,17206000000.0,18522000000.0,0.3,1600000000.0,33982000000.0,2999000000.0,652252000000.0,131836000000.0,0.004597916142840497,0.022747959586152493
2013-09-30,BA,-367000000.0,-367000000.0,-799000000.0,10657000000.0,18674000000.0,1.53,2324000000.0,22130000000.0,1158000000.0,94633000000.0,8951000000.0,0.012236746166770576,0.12937101999776562
2011-09-30,HII,0.0,,,287000000.0,1330000000.0,-5.07,196000000.0,1593000000.0,-248000000.0,5715000000.0,1155000000.0,-0.04339457567804025,-0.21471861471861473
2019-06-30,GE,-236000000.0,-236000000.0,,17036000000.0,21817000000.0,-0.01,-1946000000.0,28830000000.0,127000000.0,312109000000.0,35816000000.0,0.00040690912469682064,0.0035459012731740005
2016-12-31,LMT,-530000000.0,-530000000.0,-816000000.0,1653000000.0,12399000000.0,3.39,293000000.0,13752000000.0,988000000.0,47806000000.0,1511000000.0,0.020666861900179894,0.6538716082064858
2015-03-31,LHX,-49200000.0,-49200000.0,-1000000.0,279600000.0,753400000.0,1.21,149800000.0,1186600000.0,125700000.0,4834500000.0,1840700000.0,0.026000620539869686,0.0682892377899712
2014-12-31,GD,-204000000.0,-204000000.0,-265000000.0,2057000000.0,6766000000.0,2.12,-254000000.0,8362000000.0,701000000.0,35355000000.0,11829000000.0,0.019827464290765096,0.05926113788147772
2015-09-30,HII,-19000000.0,-19000000.0,-102000000.0,296000000.0,1456000000.0,2.31,217000000.0,1800000000.0,111000000.0,6042000000.0,1490000000.0,0.018371400198609732,0.07449664429530202
2019-12-31,BA,-1157000000.0,-1157000000.0,0.0,15553000000.0,18708000000.0,-1.79,-2774000000.0,17911000000.0,-1010000000.0,133625000000.0,-8617000000.0,-0.007558465855940131,0.11721016595102704
2013-03-31,BA,-367000000.0,-367000000.0,,9876000000.0,15756000000.0,1.45,3000000.0,18893000000.0,1106000000.0,90447000000.0,7462000000.0,0.012228155715501897,0.14821763602251406
2019-12-31,LHX,-160000000.0,-160000000.0,-750000000.0,1261000000.0,3484000000.0,1.79,769000000.0,4832000000.0,393000000.0,38336000000.0,22587000000.0,0.010251460767946578,0.01739938902908753
2014-09-30,RTX,-512000000.0,-512000000.0,-425000000.0,7046000000.0,11466000000.0,2.07,1382000000.0,16168000000.0,1854000000.0,91774000000.0,34049000000.0,0.02020180007409506,0.0544509383535493
2017-12-31,LMT,-572000000.0,-572000000.0,-501000000.0,1467000000.0,13518000000.0,-2.25,1005000000.0,15137000000.0,-642000000.0,46521000000.0,-683000000.0,-0.013800219255819953,0.9399707174231332
2020-06-30,LHX,-184000000.0,-184000000.0,0.0,1094000000.0,3175000000.0,1.31,742000000.0,4445000000.0,283000000.0,37852000000.0,22102000000.0,0.007476487371869386,0.012804271106687177
2013-12-31,LHX,-45100000.0,-45100000.0,-50100000.0,341500000.0,795400000.0,1.27,55300000.0,1223200000.0,136200000.0,4884100000.0,1713600000.0,0.027886406912225385,0.07948179271708683
2012-06-30,GD,-184000000.0,,-516000000.0,2559000000.0,6427000000.0,1.79,704000000.0,7922000000.0,634000000.0,35203000000.0,13662000000.0,0.018009828707780586,0.04640608988435076
2019-12-31,HII,-42000000.0,-42000000.0,-60000000.0,497000000.0,1980000000.0,,385000000.0,2412000000.0,149000000.0,7031000000.0,1588000000.0,0.021191864599630208,0.09382871536523929
2020-09-30,RTX,-688000000.0,-688000000.0,0.0,8143000000.0,13004000000.0,0.17,1171000000.0,14747000000.0,264000000.0,162399000000.0,68379000000.0,0.0016256257735577189,0.0038608344667222395
2014-09-30,GD,-207000000.0,-207000000.0,-426000000.0,2390000000.0,6274000000.0,2.1,2329000000.0,7751000000.0,696000000.0,35311000000.0,13010000000.0,0.019710571776500242,0.053497309761721755
2021-03-31,GE,-148000000.0,-148000000.0,,16090000000.0,12538000000.0,-0.33,-2315000000.0,17119000000.0,-2802000000.0,245164000000.0,33585000000.0,-0.011429084204858789,-0.08343010272443055
2017-09-30,RTX,-533000000.0,-533000000.0,-60000000.0,8999000000.0,11043000000.0,1.69,-567000000.0,15062000000.0,1330000000.0,96352000000.0,29881000000.0,0.01380355363666556,0.044509889227268166
2019-12-31,RTX,-612000000.0,-612000000.0,-40000000.0,10809000000.0,14734000000.0,1.33,1793000000.0,19551000000.0,1143000000.0,139716000000.0,41774000000.0,0.008180881216181397,0.02736151673289606
