date,ticker,PeRatio,PegRatio,MarketCap
2019-09-30,HII,13.138,,8683390000.0
2010-10-29,GE,,,170688582360.0
2018-02-28,GD,23.269,2.167,66052883991.0
2020-11-25,BA,,,122847304970.0
2020-07-16,LMT,,,102605672686.0
2020-11-30,GD,13.54,3.657,42859290602.0
2016-04-29,RTX,,,87343671439.0
2013-08-30,LHX,,,6022085280.0
2012-07-31,GE,16.734,1.121,219096013000.0
2012-01-31,GE,15.167,0.843,197821148070.0
2020-07-14,GD,,,41124900454.0
2021-03-05,LMT,,,95355611015.0
2019-05-31,LHX,24.826,,22111930502.0
2021-02-23,GE,,,110388389780.0
2018-11-30,RTX,19.588,1.335,105194731049.0
2018-08-31,BA,21.559,1.571,196935704956.0
2014-03-31,RTX,18.815,1.888,107110888480.0
2014-11-28,LMT,,,60518624415.0
2010-10-29,LMT,,,25673553921.0
2015-04-30,LMT,16.841,3.363,58734317137.0
2011-08-31,GD,9.102,0.767,23181890306.0
2017-04-28,GE,,,251748087370.0
2011-10-31,BA,13.002,1.146,48897394202.0
2015-06-30,LHX,15.475,,8022998781.0
2020-03-31,HII,13.741,,7379505000.0
2020-09-24,GE,,,53044931340.0
2018-03-30,RTX,,,100666844803.0
2016-02-29,LHX,111.001,,9725518889.0
2015-02-27,GD,,,46033964249.0
2012-01-31,LHX,9.491,1.458,4668776395.0
2021-03-02,GE,,,113807887160.0
2012-05-31,LMT,9.976,1.641,26879924804.0
2011-03-31,RTX,17.205,1.189,77476923051.0
2018-09-28,GE,,,98122304490.0
2013-09-30,BA,21.481,2.62,88349431462.0
2019-10-31,BA,51.816,1.039,191298368009.0
2016-02-29,HII,15.677,,6135548736.0
2018-05-31,RTX,22.329,1.499,99863424043.0
2013-02-28,GE,16.705,1.208,240812883585.0
2020-12-31,GD,13.492,3.644,42633631553.0
2018-08-31,GD,19.555,2.074,57300828948.0
2010-02-26,LHX,,,5915039858.0
2014-08-29,LMT,,,55225515306.0
2013-11-29,HII,,,4059972955.0
2014-03-31,GE,17.612,1.579,259618835850.0
2014-06-30,GD,16.369,3.035,38964523972.0
2011-07-29,BA,,,52224718216.0
2019-04-30,GD,16.058,,51627202052.0
2017-10-31,GD,19.185,3.941,60606353591.0
2014-07-31,BA,18.227,2.363,86819462071.0
2011-03-31,GD,11.064,0.961,28584312213.0
2020-08-12,BA,,,99026886594.0
2020-09-30,LMT,16.796,1.813,107142876924.0
2019-09-30,RTX,22.454,1.62,117853475688.0
2021-02-26,RTX,,,109387230866.0
2019-11-29,RTX,,,128057314559.0
2015-04-30,LHX,15.889,4.102,8362104078.0
2010-11-30,LHX,9.294,1.787,5675075214.0
2020-08-14,GD,,,44893448936.0
2016-02-29,GE,171.412,1.774,270568710025.0
2021-06-10,GD,,,54111824063.0
2011-05-31,HII,13.21,,1783721753.0
2012-05-31,BA,12.064,1.175,52141332492.0
2011-02-28,RTX,17.624,1.179,76956566809.0
2021-02-16,GE,,,104952265740.0
2020-06-30,LHX,21.477,1.508,36626720587.0
2017-01-31,BA,21.474,3.135,100854913001.0
2013-10-31,BA,23.179,2.242,98064674833.0
2018-03-30,HII,,,11539172593.0
2014-06-30,GE,18.638,1.499,263690990655.0
2013-01-31,GD,,2.879,23433264535.0
2021-01-29,LHX,,,35713587843.0
2016-02-29,RTX,21.329,2.211,80844843807.0
2015-05-29,LMT,,,59237934004.0
2015-11-30,LMT,19.446,2.839,67346880465.0
2015-11-30,RTX,15.15,2.48,85198360998.0
2012-04-30,LMT,10.908,1.659,29392613427.0
2020-07-27,BA,,,96053816802.0
2016-11-30,BA,22.951,2.658,92920498205.0
2021-01-29,GD,,,42020568984.0
2015-08-31,LMT,17.867,3.026,62473336745.0
2012-05-31,HII,,0.665,1819052514.0
2019-06-28,BA,,,204803100276.0
2011-11-30,HII,,0.6,1549664826.0
2017-03-31,LMT,21.616,3.409,77454960982.0
2010-12-31,GE,15.756,1.254,194155227040.0
2010-03-31,GE,19.362,,194312627600.0
2018-12-31,BA,18.982,,183064283452.0
2021-03-31,BA,,,148872397468.0
2014-01-31,LHX,16.47,3.628,7405405424.0
2018-09-28,GD,,,60654734759.0
2016-09-30,GE,35.262,1.335,262030071800.0
2012-06-29,HII,,,1990175996.0
2020-10-30,LMT,,,97960683337.0
2017-04-28,RTX,,,95338060700.0
2016-09-30,LMT,19.96,3.394,70232531300.0
2020-08-13,LMT,,,108808947542.0
2010-06-30,BA,46.481,,47761491639.0
2019-01-31,GD,15.256,1.747,49337343795.0
2020-10-28,HII,,,5728020104.0
2019-07-31,LMT,17.65,3.493,102275902937.0
2015-09-30,RTX,12.768,2.703,78935993183.0
2011-02-28,LMT,11.025,0.96,27695650384.0
2010-05-31,RTX,15.78,,62870933634.0
2012-03-30,GD,,,26386318021.0
2020-07-14,LMT,,,99739623777.0
2015-11-30,BA,18.319,1.969,97449119128.0
2019-09-30,BA,44.396,0.925,214124237995.0
2014-11-28,LHX,,,7496088715.0
2018-06-29,RTX,,,100031436534.0
2018-09-28,BA,,,213659641976.0
2020-09-17,LHX,,,40091273863.0
2014-07-31,HII,14.856,0.744,4418712000.0
2019-08-30,GD,,,55247214832.0
2017-07-31,GD,18.842,7.145,58793335586.0
2020-04-30,RTX,10.111,,98197559847.0
2020-10-15,GE,,,60135095430.0
2016-06-30,RTX,23.097,1.787,85826858619.0
2019-12-31,GE,558.0,1.514,97520923440.0
2012-08-31,LHX,9.798,2.951,5297608379.0
2012-03-30,LMT,,,29171860421.0
2020-10-30,GE,,,64998257660.0
2017-12-29,GE,,,151327883250.0
2021-01-29,HII,,,6371865000.0
2011-09-30,GE,12.374,0.816,160682882220.0
2020-07-28,HII,,,7082589357.0
2011-02-28,BA,16.146,1.335,53020639243.0
2015-05-29,LHX,,,8263970399.0
2021-03-08,HII,,,7704532836.0
