recipient_parent_name,std_name
LOCKHEED MARTIN CORPORATION,Lockheed Martin
THE BOEING COMPANY,Boeing
BOEING AEROSPACE OPERATIONS  INC.,Boeing
BOEING COMPANY  THE,Boeing
BOEING DISTRIBUTION SERVICES DEFENSE LLC,Boeing
BOEING DISTRIBUTION SERVICES X  INC.,Boeing
THE BOEING COMPANY,Boeing
RAYTHEON COMPANY,Raytheon Technologies
RAYTHEON TECHNOLOGIES CORPORATION,Raytheon Technologies
GENERAL DYNAMICS CORPORATION,General Dynamics
GENERAL DYNAMICS INFORMATION TECHNOLOGY  INC.,General Dynamics
GENERAL DYNAMICS MISSION SYSTEMS  INC,General Dynamics
GENERAL DYNAMICS MISSION SYSTEMS  INC.,General Dynamics
GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS - SIMUNITION OPERATIONS  INC.,General Dynamics
GENERAL DYNAMICS SATCOM TECHNOLOGIES  INC.,General Dynamics
GENERAL DYNAMICS-OTS  INC.,General Dynamics
GENERAL ELECTRIC COMPANY,General Electric
L3 TECHNOLOGIES  INC.,L3 Harris
L3HARRIS TECHNOLOGIES  INC.,L3 Harris
HUNTINGTON INGALLS INDUSTRIES  INC.,Huntington Ingalls
